Rank,Name,Release Date,Platform,Genre,Publisher,Developer,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic Score,User Score,ESRB Rating
194,Call of Duty: Advanced Warfare,2014-11-04,XOne,Shooter,Activision,Sledgehammer Games,3.21,1.53,0.01,0.38,5.13,83.0,79.0,M
195,Microsoft Flight Simulator,2020-08-18,PC,Simulation,Microsoft Game Studios,Asobo Studio,3.22,1.69,0.0,0.2,5.12,91.0,90.0,E
196,Guitar Hero II,2006-11-07,PS2,Misc,RedOctane,Harmonix,3.81,0.63,0.0,0.68,5.12,92.0,88.0,T
197,Resident Evil 5,2009-03-05,PS3,Action,Capcom,Capcom,1.96,1.43,1.08,0.65,5.11,86.0,85.0,M
198,Grand Theft Auto V,2013-09-17,XOne,Action,Take-Two Interactive,Rockstar North,2.66,2.01,0.0,0.41,5.08,97.0,83.0,M
199,Grand Theft Auto: Vice City Stories,2006-10-31,PSP,Action,Take-Two Interactive,Rockstar Leeds,1.7,2.02,0.16,1.21,5.08,84.0,78.0,M
200,FIFA Soccer 11,2010-09-28,PS3,Sports,Electronic Arts,EA Sports,0.6,3.29,0.06,1.13,5.08,89.0,86.0,E
201,Super Mario Bros.,1985-09-13,GB,Platform,Nintendo,Nintendo,3.4,1.3,0.15,0.22,5.07,,,
202,Resident Evil,1996-03-22,PS,Action,Virgin Interactive,Capcom,2.05,1.16,1.11,0.73,5.05,91.0,88.0,M
203,Tony Hawk's Pro Skater,1999-09-29,PS,Sports,Activision,Neversoft,3.42,1.38,0.02,0.2,5.02,92.0,91.0,T
204,Super Smash Bros. for Wii U and 3DS,2014-11-21,WiiU,Fighting,Nintendo,Bandai Namco,2.59,1.06,0.8,0.57,5.02,84.0,83.0,E
205,Warzone 2100,1999-04-10,PS,Strategy,Eidos Interactive,Pumpkin Studios,2.79,1.89,0.0,0.33,5.01,75.0,72.0,T
206,Spyro the Dragon,1998-09-09,PS,Platform,Sony Computer Entertainment,Insomniac Games,3.36,1.36,0.07,0.21,5.0,85.0,86.0,E
207,Link's Crossbow Training,2007-11-19,Wii,Shooter,Nintendo,Nintendo,3.06,1.18,0.29,0.46,5.0,69.0,69.0,T
208,Guitar Hero III: Legends of Rock,2007-10-28,PS2,Misc,Activision,Neversoft,3.49,0.01,0.01,1.48,4.98,92.0,90.0,T
209,Fallout 3,2008-10-28,X360,Role-Playing,Bethesda Softworks,Bethesda Game Studios,3.39,1.03,0.09,0.44,4.96,93.0,91.0,M
210,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,2007-09-13,DS,Role-Playing,Nintendo,Chunsoft,1.85,1.2,1.54,0.37,4.96,79.0,75.0,E
211,Uncharted: Drake's Fortune,2007-11-19,PS3,Action,Sony Computer Entertainment,Naughty Dog,2.31,1.73,0.12,0.78,4.94,88.0,86.0,T
212,Madden NFL 06,2005-08-08,PS2,Sports,Electronic Arts,EA Sports,3.98,0.26,0.01,0.66,4.91,79.0,75.0,E
213,LEGO Star Wars: The Complete Saga,2007-11-06,DS,Action,LucasArts,Traveller's Tales,2.89,1.54,0.0,0.46,4.9,80.0,82.0,E
214,Diddy Kong Racing,1997-11-21,N64,Racing,Nintendo,Rare,2.91,0.99,0.89,0.1,4.88,89.0,87.0,E
215,Monster Hunter Freedom 3,2010-12-01,PSP,Role-Playing,Capcom,Capcom,0.0,0.0,4.87,0.0,4.87,82.0,84.0,T
216,Dr. Mario,1990-07-27,NES,Puzzle,Nintendo,Nintendo,2.62,0.6,1.52,0.1,4.85,78.0,75.0,E
217,God of War III,2010-03-16,PS3,Action,Sony Computer Entertainment,Santa Monica Studio,2.74,1.36,0.12,0.63,4.84,92.0,90.0,M
218,StarCraft II: Wings of Liberty,2010-07-27,PC,Strategy,Activision,Blizzard Entertainment,2.56,1.68,0.0,0.59,4.83,93.0,89.0,T
219,Assassin's Creed,2007-11-13,PS3,Adventure,Ubisoft,Ubisoft,1.91,2.0,0.09,0.83,4.83,81.0,80.0,M
220,FIFA 15,2014-09-23,PS3,Sports,Electronic Arts,EA Sports,0.57,3.14,0.04,1.07,4.82,89.0,83.0,E
221,Crash Team Racing,1999-09-30,PS,Racing,Sony Computer Entertainment,Naughty Dog,2.57,1.57,0.44,0.21,4.79,88.0,90.0,E
222,FIFA 17,2016-09-27,PS4,Sports,Electronic Arts,EA Sports,0.28,3.75,0.06,0.69,4.77,85.0,84.0,E
223,Batman: Arkham City,2011-10-18,X360,Action,Warner Bros. Interactive Entertainment,Rocksteady Studios,2.99,1.31,0.04,0.41,4.76,96.0,91.0,T
224,Driver 2,2000-11-13,PS,Action,Atari,Reflections Interactive,2.36,2.1,0.02,0.25,4.73,79.0,75.0,T
225,The Simpsons: Hit & Run,2003-09-16,PS2,Racing,Vivendi Games,Radical Entertainment,1.73,2.19,0.0,0.79,4.7,82.0,80.0,T
226,Tony Hawk's Pro Skater 2,2000-09-19,PS,Sports,Activision,Neversoft,3.05,1.41,0.02,0.2,4.68,98.0,93.0,T
227,Animal Crossing: City Folk,2008-11-16,Wii,Simulation,Nintendo,Nintendo,1.87,1.12,1.32,0.37,4.68,73.0,70.0,E
228,The Lord of the Rings: The Two Towers,2002-10-22,PS2,Action,Electronic Arts,Electronic Arts,1.94,1.95,0.08,0.7,4.67,87.0,85.0,T
229,Forza Motorsport 4,2011-10-11,X360,Racing,Microsoft Game Studios,Turn 10 Studios,2.08,2.04,0.06,0.47,4.64,91.0,88.0,E
230,Tomb Raider,2013-03-05,PS,Action,Eidos Interactive,Crystal Dynamics,2.29,1.97,0.13,0.24,4.63,88.0,86.0,M
231,Guitar Hero III: Legends of Rock,2007-10-28,Wii,Misc,Activision,Neversoft,3.06,1.12,0.0,0.44,4.62,92.0,90.0,T
232,The Legend of Zelda: A Link to the Past,1991-11-21,SNES,Action,Nintendo,Nintendo,2.42,0.91,1.15,0.13,4.61,95.0,92.0,E
233,The Legend of Zelda: The Wind Waker,2002-12-13,GC,Action,Nintendo,Nintendo,2.6,0.99,0.89,0.13,4.6,96.0,93.0,E
234,Mario & Sonic at the Olympic Winter Games,2009-10-13,Wii,Sports,Sega,Sega,1.89,1.99,0.22,0.48,4.58,75.0,70.0,E
235,Luigi's Mansion: Dark Moon,2013-03-24,3DS,Action,Nintendo,Nintendo,1.78,1.39,1.1,0.3,4.58,86.0,85.0,E
236,Splatoon,2015-05-28,WiiU,Shooter,Nintendo,Nintendo,1.55,1.15,1.44,0.43,4.57,81.0,83.0,E
237,The Last of Us,2013-06-14,PS4,Action,Sony Computer Entertainment,Naughty Dog,1.78,1.87,0.07,0.82,4.55,95.0,95.0,M
238,Guitar Hero III: Legends of Rock,2007-10-28,X360,Misc,Activision,Neversoft,3.19,0.92,0.01,0.42,4.53,92.0,90.0,T
239,Madden NFL 2005,2004-08-09,PS2,Sports,Electronic Arts,EA Sports,4.18,0.26,0.01,0.08,4.53,91.0,88.0,E
240,Pitfall!,1982-09-20,2600,Platform,Activision,Activision,4.21,0.24,0.0,0.05,4.5,80.0,76.0,E
241,Madden NFL 07,2006-08-22,PS2,Sports,Electronic Arts,EA Sports,3.63,0.24,0.01,0.61,4.49,85.0,83.0,E
242,Spider-Man: The Movie,2002-04-16,PS2,Action,Activision,Treyarch,2.71,1.51,0.03,0.23,4.48,79.0,78.0,T
243,Dragon Quest VII: Warriors of Eden,2000-08-26,PS,Role-Playing,Enix Corporation,Square Enix,0.2,0.14,4.1,0.02,4.47,90.0,89.0,E
244,Uncharted: The Nathan Drake Collection,2015-10-07,PS4,Action,Sony Computer Entertainment,Bluepoint Games,1.96,1.69,0.08,0.74,4.47,86.0,85.0,T
245,Call of Duty: Advanced Warfare,2014-11-04,PS3,Shooter,Activision,Sledgehammer Games,1.54,1.94,0.19,0.77,4.45,83.0,79.0,M
246,God of War,2005-03-22,PS2,Action,Sony Computer Entertainment,Santa Monica Studio,2.71,1.29,0.02,0.43,4.45,94.0,91.0,M
247,Nintendo Land,2012-11-18,WiiU,Misc,Nintendo,Nintendo,2.55,1.11,0.46,0.33,4.44,77.0,70.0,E
248,Michael Jackson: The Experience,2010-11-23,Wii,Misc,Ubisoft,Ubisoft,2.67,1.35,0.01,0.39,4.42,72.0,68.0,E
249,Tony Hawk's Pro Skater 3,2001-10-28,PS2,Sports,Activision,Neversoft,2.66,1.29,0.01,0.46,4.41,97.0,94.0,T
250,Winning Eleven: Pro Evolution Soccer 2007,2006-09-26,PS2,Sports,Konami Digital Entertainment,Konami,0.1,2.39,1.05,0.86,4.39,82.0,76.0,E
251,The Elder Scrolls IV: Oblivion,2006-03-20,X360,Role-Playing,Take-Two Interactive,Bethesda Game Studios,2.82,1.05,0.13,0.4,4.39,94.0,91.0,M
252,Zelda II: The Adventure of Link,1987-01-14,NES,Adventure,Nintendo,Nintendo,2.19,0.5,1.61,0.08,4.38,86.0,82.0,E
253,Need for Speed: Most Wanted,2005-11-15,PS2,Racing,Electronic Arts,EA Black Box,2.03,1.79,0.08,0.47,4.37,85.0,83.0,T
254,Resistance: Fall of Man,2006-11-14,PS3,Shooter,Sony Computer Entertainment,Insomniac Games,1.73,1.73,0.14,0.75,4.35,87.0,86.0,M
255,Sonic the Hedgehog,1991-06-23,GEN,Platform,Sega,Sega,3.03,0.91,0.26,0.13,4.34,78.0,75.0,E
256,Kingdom Hearts II,2005-12-22,PS2,Role-Playing,Square Enix,Square Enix,2.2,0.58,1.38,0.17,4.33,87.0,89.0,E
257,FIFA 14,2013-09-23,X360,Sports,Electronic Arts,EA Sports,0.92,2.93,0.01,0.46,4.31,88.0,84.0,E
258,Call of Duty: Advanced Warfare,2014-11-04,X360,Shooter,Activision,Sledgehammer Games,2.75,1.18,0.0,0.37,4.31,83.0,79.0,M
259,Asteroids,1979-11-01,2600,Shooter,Atari,Atari,4.0,0.26,0.0,0.05,4.31,80.0,78.0,E
260,Fable II,2008-10-21,X360,Role-Playing,Microsoft Game Studios,Lionhead Studios,2.51,1.27,0.11,0.41,4.31,89.0,87.0,M
261,Halo 5: Guardians,2015-10-27,XOne,Shooter,Microsoft Game Studios,343 Industries,2.64,1.2,0.03,0.39,4.26,84.0,79.0,T
262,Super Mario 3D World,2013-11-21,WiiU,Platform,Nintendo,Nintendo,2.11,1.11,0.72,0.3,4.25,93.0,87.0,E
263,Batman: Arkham Asylum,2009-08-25,PS3,Action,Eidos Interactive,Rocksteady Studios,2.23,1.34,0.07,0.61,4.25,92.0,89.0,T
264,Assassin's Creed: Revelations,2011-11-15,PS3,Action,Ubisoft,Ubisoft,1.41,2.02,0.1,0.72,4.24,80.0,78.0,M
265,Namco Museum,1995-10-10,GBA,Misc,Namco Bandai Games,Namco,3.0,1.11,0.05,0.07,4.24,79.0,72.0,E
266,Metal Gear Solid 3: Snake Eater,2004-11-17,PS2,Action,Konami Digital Entertainment,Kojima Productions,1.46,0.0,0.83,1.93,4.23,94.0,90.0,M
267,Daxter,2006-03-21,PSP,Platform,Sony Computer Entertainment,Ready at Dawn,2.45,1.02,0.0,0.75,4.22,85.0,83.0,E
268,Warcraft II: Tides of Darkness,1995-12-09,PC,Strategy,Activision,Blizzard Entertainment,1.7,2.27,0.0,0.23,4.21,90.0,89.0,T
269,The Legend of Zelda: Ocarina of Time,1998-11-21,3DS,Action,Nintendo,Nintendo,2.03,1.27,0.62,0.3,4.21,99.0,91.0,E
270,FIFA Soccer 06,2005-09-30,PS2,Sports,Electronic Arts,EA Sports,0.78,2.55,0.04,0.84,4.21,78.0,75.0,E
271,EyeToy Play,2003-07-04,PS2,Misc,Sony Computer Entertainment,London Studio,0.88,2.3,0.2,0.83,4.2,74.0,68.0,E
272,Uncharted 4: A Thief's End,2016-05-10,PS4,Shooter,Sony Computer Entertainment,Naughty Dog,1.3,2.07,0.18,0.65,4.2,93.0,92.0,M
273,Gran Turismo 5 Prologue,2007-12-13,PS3,Racing,Sony Computer Entertainment,Polyphony Digital,1.28,1.83,0.57,0.53,4.2,81.0,79.0,E
274,Assassin's Creed: Revelations,2011-11-15,X360,Action,Ubisoft,Ubisoft,2.25,1.47,0.04,0.43,4.19,80.0,78.0,M
275,Street Fighter IV,2008-07-18,PS3,Fighting,Capcom,Capcom,2.02,1.06,0.58,0.53,4.19,89.0,85.0,T
276,FIFA 12,2011-09-27,X360,Sports,Electronic Arts,EA Sports,0.84,2.79,0.02,0.53,4.19,90.0,86.0,E
277,Teenage Mutant Ninja Turtles,1989-06-01,NES,Action,Palcom,Konami,3.38,0.44,0.31,0.04,4.17,75.0,73.0,E
278,Excitebike,1984-11-30,NES,Racing,Nintendo,Nintendo,2.04,0.48,1.57,0.07,4.16,78.0,70.0,E
279,Frogger,1981-06-05,PS,Action,Hasbro Interactive,Konami,3.79,0.27,0.0,0.11,4.16,80.0,76.0,E
280,Madden NFL 2003,2002-08-12,PS2,Sports,Electronic Arts,EA Sports,3.36,0.21,0.01,0.56,4.14,91.0,87.0,E
281,Watch Dogs,2014-05-27,PS4,Action,Ubisoft,Ubisoft,1.4,1.86,0.11,0.77,4.14,81.0,75.0,M
282,Half-Life,1998-11-19,PC,Shooter,Vivendi Games,Valve,4.03,0.0,0.09,0.0,4.12,96.0,93.0,M
283,Super Mario World 2: Yoshi's Island,1995-08-05,SNES,Platform,Nintendo,Nintendo,1.65,0.61,1.76,0.09,4.12,91.0,89.0,E
284,FIFA Soccer 07,2006-09-27,PS2,Sports,Electronic Arts,EA Sports,0.71,2.48,0.03,0.89,4.11,85.0,80.0,E
285,The Legend of Zelda: Skyward Sword,2011-11-18,Wii,Action,Nintendo,Nintendo,2.14,1.2,0.37,0.4,4.1,93.0,85.0,E
286,Street Fighter II Turbo,1994-07-11,SNES,Fighting,Capcom,Capcom,1.42,0.51,2.1,0.07,4.1,88.0,87.0,T
287,Carnival Games,2007-08-28,Wii,Misc,Take-Two Interactive,Cat Daddy Games,2.13,1.5,0.05,0.42,4.1,72.0,65.0,E
288,Fallout 4,2015-11-10,XOne,Role-Playing,Bethesda Softworks,Bethesda Game Studios,2.45,1.26,0.01,0.37,4.09,84.0,78.0,M
289,World of Warcraft: The Burning Crusade,2007-01-16,PC,Role-Playing,Activision,Blizzard Entertainment,2.57,1.52,0.0,0.0,4.09,91.0,89.0,T
290,Fallout: New Vegas,2010-10-19,X360,Role-Playing,Bethesda Softworks,Obsidian Entertainment,2.65,1.06,0.04,0.33,4.08,84.0,85.0,M
291,God of War II,2007-03-13,PS2,Action,Sony Computer Entertainment,Santa Monica Studio,2.32,0.04,0.04,1.67,4.07,92.0,90.0,M
292,Forza Motorsport 2,2007-05-29,X360,Racing,Microsoft Game Studios,Turn 10 Studios,2.35,1.28,0.03,0.41,4.06,90.0,88.0,E
293,World Soccer Winning Eleven 9,2005-08-04,PS2,Sports,Konami Digital Entertainment,Konami,0.12,2.26,0.9,0.77,4.06,87.0,83.0,E
294,Namco Museum Vol.3,1996-01-31,PS,Misc,Sony Computer Entertainment,Namco,2.28,1.55,0.16,0.06,4.05,79.0,75.0,E
295,Tekken Tag Tournament,1999-09-14,PS2,Fighting,Namco Bandai Games,Namco,1.68,1.51,0.51,0.35,4.05,85.0,82.0,T
296,Far Cry 4,2014-11-18,PS4,Shooter,Ubisoft,Ubisoft,1.12,2.12,0.1,0.69,4.03,85.0,85.0,M
297,Star Fox 64,1997-04-27,N64,Shooter,Nintendo,Nintendo,2.78,0.58,0.64,0.04,4.03,88.0,87.0,E
298,Minecraft,2011-11-18,PS4,Misc,Sony Computer Entertainment Europe,Mojang,1.38,1.87,0.12,0.65,4.02,93.0,90.0,E
299,Golf,1980-05-01,NES,Sports,Nintendo,Nintendo,1.22,0.28,2.46,0.04,4.01,74.0,68.0,E
300,Fallout 3,2008-10-28,PS3,Role-Playing,Bethesda Softworks,Bethesda Game Studios,2.15,1.2,0.07,0.59,4.01,93.0,91.0,M
301,Professor Layton and the Diabolical Box,2007-11-29,DS,Puzzle,Nintendo,Level-5,0.92,1.78,0.92,0.37,4.0,81.0,79.0,E
302,Left 4 Dead 2,2009-11-17,X360,Shooter,Electronic Arts,Valve,2.67,0.89,0.05,0.37,3.99,89.0,86.0,M
303,Namco Museum: 50th Anniversary,2005-09-27,PS2,Misc,Namco Bandai Games,Namco,2.08,1.35,0.0,0.54,3.98,74.0,72.0,E
304,EA Sports Active,2009-05-19,Wii,Sports,Electronic Arts,EA Sports,2.1,1.36,0.06,0.4,3.92,78.0,75.0,E
305,Assassin's Creed: Unity,2014-11-11,PS4,Action,Ubisoft,Ubisoft,1.18,1.96,0.08,0.7,3.92,74.0,68.0,M
306,Donkey Kong Land,1994-06-26,GB,Platform,Nintendo,Rare,1.97,0.76,1.07,0.11,3.91,80.0,83.0,E
307,Tony Hawk's Underground,2003-10-27,PS2,Sports,Activision,Neversoft,2.29,1.17,0.01,0.42,3.9,90.0,90.0,T
308,Assassin's Creed IV: Black Flag,2013-10-29,PS3,Action,Ubisoft,Ubisoft,1.33,1.71,0.13,0.73,3.89,88.0,85.0,M
309,Monster Hunter 4 Ultimate,2013-10-11,3DS,Role-Playing,Nintendo,Capcom,0.67,0.49,2.62,0.11,3.89,86.0,88.0,T
310,MotorStorm,2007-03-06,PS3,Racing,Sony Computer Entertainment,Evolution Studios,1.53,1.61,0.06,0.67,3.88,82.0,79.0,T
311,The Elder Scrolls V: Skyrim,2011-11-11,PC,Role-Playing,Bethesda Softworks,Bethesda Game Studios,1.15,2.09,0.0,0.64,3.88,96.0,92.0,M
312,Tekken 5,2004-03-31,PS2,Fighting,Namco Bandai Games,Namco,0.93,1.94,0.31,0.7,3.87,88.0,87.0,T
313,Dragon Warrior III,1988-02-10,NES,Role-Playing,Enix Corporation,Enix,0.1,0.0,3.77,0.0,3.87,85.0,83.0,E
314,Sports Champions,2010-09-17,PS3,Sports,Sony Computer Entertainment,Zindagi Games,2.12,1.14,0.1,0.51,3.87,76.0,72.0,E
315,NBA 2K16,2015-09-29,PS4,Sports,Take-Two Interactive,Visual Concepts,2.48,0.65,0.03,0.69,3.85,87.0,85.0,E
316,World Soccer Winning Eleven 8 International,2004-10-05,PS2,Sports,Konami Digital Entertainment,Konami,0.16,1.89,1.12,0.68,3.85,86.0,86.0,E
317,Flash Focus: Vision Training in Minutes a Day,2007-05-21,DS,Misc,Nintendo,Nintendo,0.87,1.57,1.05,0.35,3.84,74.0,69.0,E
318,Namco Museum Vol.1,1995-10-10,PS,Misc,Sony Computer Entertainment,Namco,2.12,1.44,0.22,0.06,3.84,79.0,75.0,E
319,The Legend of Zelda: Link's Awakening,1993-06-06,GB,Action,Nintendo,Nintendo,2.21,0.96,0.54,0.13,3.83,91.0,89.0,E
320,Mario & Luigi: Bowser's Inside Story,2009-02-11,DS,Role-Playing,Nintendo,AlphaDream,2.26,0.48,0.81,0.27,3.83,86.0,88.0,E
321,Big Brain Academy: Wii Degree,2007-06-11,Wii,Misc,Nintendo,Nintendo,1.06,1.93,0.41,0.43,3.82,77.0,74.0,E
322,Nintendogs + cats,2011-02-26,3DS,Simulation,Nintendo,Nintendo,1.44,1.37,0.73,0.27,3.81,75.0,71.0,E
323,Batman: Arkham Knight,2015-06-23,PS4,Action,Warner Bros. Interactive Entertainment,Rocksteady Studios,1.49,1.58,0.1,0.61,3.79,88.0,86.0,M
324,Mario & Sonic at the London 2012 Olympic Games,2011-11-15,Wii,Sports,Sega,Sega,1.14,1.91,0.27,0.46,3.78,69.0,72.0,E
325,LEGO Indiana Jones: The Original Adventures,2008-06-03,X360,Action,Activision,Traveller's Tales,2.4,1.03,0.0,0.36,3.78,76.0,73.0,E
326,Resident Evil Director's Cut,1997-09-25,PS,Action,Virgin Interactive,Capcom,1.82,1.24,0.47,0.25,3.77,84.0,85.0,M
327,Ratchet & Clank: Size Matters,2007-02-13,PSP,Platform,Sony Computer Entertainment,High Impact Games,1.4,1.4,0.1,0.87,3.77,85.0,84.0,E
328,Just Dance 2014,2013-10-01,Wii,Misc,Ubisoft,Ubisoft,1.98,1.47,0.0,0.32,3.76,75.0,70.0,E
329,The Sims: Unleashed,2002-09-25,PC,Simulation,Electronic Arts,Maxis,2.03,1.56,0.0,0.17,3.76,80.0,76.0,T
330,Super Paper Mario,2007-04-09,Wii,Platform,Nintendo,Intelligent Systems,1.98,0.88,0.59,0.32,3.76,85.0,81.0,E
331,Harry Potter and the Sorcerer's Stone,2001-11-15,PS,Action,Electronic Arts,EA Games,1.37,2.0,0.14,0.22,3.73,71.0,74.0,E
332,The Witcher 3: Wild Hunt,2015-05-19,PS4,Role-Playing,Namco Bandai Games,CD Projekt Red,0.96,2.0,0.21,0.56,3.73,93.0,95.0,M
333,Resident Evil 3: Nemesis,1999-02-22,PS,Action,Eidos Interactive,Capcom,1.3,0.77,1.54,0.11,3.72,89.0,87.0,M
334,Spyro: Year of the Dragon,2000-10-24,PS,Platform,Sony Computer Entertainment,Insomniac Games,1.93,1.58,0.0,0.19,3.71,85.0,86.0,E
335,FIFA Soccer 2005,2004-09-28,PS2,Sports,Electronic Arts,EA Sports,0.58,2.48,0.04,0.59,3.7,81.0,83.0,E
337,Battlefield 4,2013-10-29,PS3,Shooter,Electronic Arts,DICE,1.3,1.51,0.27,0.61,3.69,86.0,86.0,M
338,MySims,2007-09-30,DS,Simulation,Electronic Arts,Maxis,1.59,1.61,0.08,0.41,3.69,75.0,69.0,E
339,Friend Collection,2009-12-01,DS,Misc,Nintendo,Nintendo,0.0,0.0,3.67,0.0,3.67,70.0,71.0,E
340,Tony Hawk's Pro Skater 4,2002-10-01,PS2,Sports,Activision,Neversoft,2.13,1.18,0.01,0.35,3.67,88.0,90.0,T
341,Midnight Club 3: DUB Edition,2005-04-12,PSP,Racing,Take-Two Interactive,Rockstar San Diego,1.65,1.22,0.0,0.79,3.66,85.0,85.0,T
342,Banjo-Kazooie,1998-09-20,N64,Platform,Nintendo,Rare,1.87,1.13,0.55,0.1,3.65,92.0,91.0,E
343,SOCOM: U.S. Navy SEALs,2002-10-22,PS2,Shooter,Sony Computer Entertainment,Zipper Interactive,2.53,0.81,0.06,0.24,3.65,87.0,86.0,M
344,Guitar Hero: World Tour,2008-10-26,Wii,Misc,Activision,Neversoft,2.33,0.97,0.0,0.35,3.65,85.0,89.0,T
345,Gran Turismo 6,2013-12-06,PS3,Racing,Sony Computer Entertainment,Polyphony Digital,0.71,1.8,0.4,0.74,3.64,89.0,88.0,E
346,Jak and Daxter: The Precursor Legacy,2001-12-03,PS2,Platform,Sony Computer Entertainment,Naughty Dog,2.08,1.09,0.15,0.33,3.64,87.0,89.0,E
347,Pokemon Snap,1999-03-18,N64,Simulation,Nintendo,Nintendo,2.23,0.68,0.66,0.06,3.63,88.0,87.0,E
348,FIFA Soccer 10,2009-10-01,PS3,Sports,Electronic Arts,EA Sports,0.6,2.46,0.05,0.52,3.63,84.0,84.0,E
349,Pro Evolution Soccer 2008,2007-11-01,PS2,Sports,Konami Digital Entertainment,Konami,0.05,0.0,0.64,2.93,3.63,86.0,86.0,E
350,Call of Duty: Ghosts,2013-11-05,PS4,Shooter,Activision,Infinity Ward,1.78,1.42,0.05,0.38,3.63,81.0,78.0,M
351,Resident Evil 4,2005-01-11,PS2,Action,Capcom,Capcom,2.08,0.83,0.46,0.25,3.62,91.0,90.0,M
352,Tom Clancy's The Division,2016-03-08,PS4,Shooter,Ubisoft,Ubisoft,1.28,1.61,0.15,0.57,3.61,80.0,81.0,M
353,Star Wars: Battlefront,2015-11-17,PS2,Shooter,LucasArts,DICE,1.93,1.22,0.03,0.44,3.61,81.0,78.0,T
354,Doom II: Hell on Earth,1994-04-01,PC,Shooter,Virgin Interactive,id Software,2.05,1.4,0.0,0.16,3.61,85.0,93.0,M
355,The Simpsons: Road Rage,2001-10-25,PS2,Racing,Electronic Arts,EA Redwood Shores,2.02,1.17,0.0,0.42,3.61,82.0,75.0,T
356,Cooking Mama 2: Dinner With Friends,2006-11-14,DS,Simulation,505 Games,505 Games,1.61,1.5,0.1,0.39,3.61,75.0,76.0,E
357,Luigi's Mansion,2001-09-14,GC,Action,Nintendo,Nintendo,2.38,0.67,0.46,0.1,3.6,87.0,87.0,E
358,Star Wars: Battlefront II,2005-10-31,PS2,Shooter,LucasArts,Pandemic Studios,2.18,1.02,0.03,0.37,3.59,86.0,85.0,T
359,WWF SmackDown!,2001-03-22,PS,Fighting,THQ,THQ,2.01,1.35,0.06,0.16,3.58,83.0,84.0,T
360,Croc: Legend of the Gobbos,1997-11-20,PS,Platform,Fox Interactive,Argonaut Games,1.57,1.79,0.0,0.2,3.56,78.0,73.0,E
361,Grand Theft Auto: Liberty City Stories,2005-10-25,PS2,Action,Take-Two Interactive,Rockstar Leeds,1.56,1.4,0.07,0.5,3.54,85.0,83.0,M
362,The Getaway,2002-12-10,PS2,Action,Sony Computer Entertainment,Team Soho,1.23,1.77,0.05,0.49,3.54,81.0,78.0,M
363,Tomb Raider III: Adventures of Lara Croft,1998-11-03,PS,Action,Eidos Interactive,Core Design,1.66,1.58,0.12,0.18,3.54,77.0,72.0,M
364,James Bond 007: Agent Under Fire,2001-11-13,PS2,Shooter,Electronic Arts,EA Games,1.9,1.13,0.1,0.41,3.53,80.0,79.0,T
365,LEGO Star Wars: The Video Game,2005-03-15,PS2,Action,Eidos Interactive,Traveller's Tales,1.98,1.14,0.01,0.41,3.53,82.0,80.0,E
366,Battlefield 4,2013-10-29,X360,Shooter,Electronic Arts,DICE,2.14,1.08,0.02,0.29,3.53,89.0,86.0,M
367,FIFA Soccer 11,2010-09-28,X360,Sports,Electronic Arts,EA Sports,0.71,2.4,0.02,0.4,3.53,85.0,80.0,E
368,Rugrats in Paris: The Movie,2000-11-17,PS,Action,THQ,THQ,1.96,1.33,0.0,0.23,3.52,75.0,69.0,E
369,Spyro 2: Ripto's Rage!,2000-10-24,PS,Platform,Sony Computer Entertainment,Insomniac Games,2.14,1.21,0.01,0.17,3.52,90.0,87.0,T
370,Left 4 Dead,2008-11-17,X360,Shooter,Electronic Arts,Valve,2.66,0.5,0.05,0.3,3.52,88.0,82.0,M
371,Mario & Sonic at the Olympic Winter Games,2009-11-17,DS,Sports,Sega,Sega,1.22,1.66,0.27,0.38,3.52,80.0,78.0,E
372,Resident Evil 5,2009-03-13,X360,Action,Capcom,Capcom,2.11,0.94,0.12,0.34,3.51,84.0,81.0,M
373,Donkey Kong Country 3: Dixie Kong's Double Trouble!,1996-11-24,SNES,Platform,Nintendo,Rare,1.17,0.5,1.75,0.08,3.51,86.0,80.0,E
374,Assassin's Creed: Brotherhood,2010-11-16,X360,Action,Ubisoft,Ubisoft,2.84,0.39,0.03,0.24,3.5,89.0,90.0,M
375,Kung Fu,1985-09-01,NES,Action,Nintendo,Konami,1.64,0.38,1.42,0.06,3.5,81.0,75.0,T
376,Batman: Arkham Asylum,2009-08-25,X360,Action,Eidos Interactive,Rocksteady Studios,2.2,0.97,0.02,0.31,3.5,91.0,92.0,T
377,Clubhouse Games,2006-06-06,DS,Misc,Nintendo,Nintendo,0.59,1.83,0.73,0.35,3.5,78.0,72.0,E
378,FIFA Soccer 2004,2004-10-01,PS2,Sports,Electronic Arts,EA Sports,0.59,2.36,0.04,0.51,3.49,88.0,87.0,E
379,Star Wars Battlefront (2015),2015-11-17,XOne,Shooter,Electronic Arts,DICE,1.94,1.22,0.02,0.31,3.49,85.0,79.0,T
380,Battlefield: Bad Company 2,2010-03-02,X360,Shooter,Electronic Arts,EA DICE,2.09,1.02,0.04,0.32,3.48,87.0,86.0,M
381,Guitar Hero: On Tour,2008-06-22,DS,Misc,Activision,Vicarious Visions,2.11,1.01,0.01,0.35,3.48,83.0,79.0,T
382,Assassin's Creed: Unity,2014-11-11,XOne,Action,Ubisoft,Ubisoft,2.26,0.89,0.0,0.3,3.46,73.0,75.0,M
